model,fold,mae_all,mae_peak,pinball_p90,composite,window,feature_set,n_features
ridge_resid,fold1,192.83884009656256,373.19830679383654,39.2514010280926,216.22919229205078,all_history,core,42
ridge_resid,fold2,122.38185964580428,165.50967374572497,23.52845382307202,115.54952271123403,all_history,core,42
ridge_resid,fold3,152.10584623425953,278.96984883022026,50.78330877951272,169.9005395220984,all_history,core,42
ridge_resid,fold4,111.61676112413096,196.19909821372482,20.464466022786958,118.7610032307403,all_history,core,42
ridge_direct,fold1,193.64494885987938,373.0885159878993,39.39880085722783,216.628789397755,all_history,core,42
ridge_direct,fold2,121.72447458724271,162.01849098782853,23.714881634555596,114.21076091688103,all_history,core,42
ridge_direct,fold3,151.36658209763186,276.4506842625689,50.38127916615624,168.69475216081787,all_history,core,42
ridge_direct,fold4,112.93831844505128,190.8526582420643,20.10909038550846,117.74677477224662,all_history,core,42
hgb_resid,fold1,173.37999283686844,313.9027772129419,64.1040111926875,193.6816318208543,all_history,core,42
hgb_resid,fold2,151.52175094233428,183.65416263254326,40.72165299588939,139.001454860108,all_history,core,42
hgb_resid,fold3,160.39544935394542,246.0572176952565,76.55018772089748,169.32492752972914,all_history,core,42
hgb_resid,fold4,122.92830006528177,225.9378852428168,36.54764823345018,136.55504525217597,all_history,core,42
xgb_resid,fold1,175.03494918346405,289.46976470947266,64.63037598290614,187.28447920115502,all_history,core,42
xgb_resid,fold2,157.08793172382173,203.9765557681813,43.662371544699575,148.46940690130515,all_history,core,42
xgb_resid,fold3,151.925701733856,235.15809362074907,61.826759297670336,158.87563081268675,all_history,core,42
xgb_resid,fold4,118.87713078728744,176.6264036402983,26.344755568922977,117.6954375995178,all_history,core,42
xgb_direct,fold1,200.52908179873512,354.4607364430147,83.24262004307337,223.25128584088665,all_history,core,42
xgb_direct,fold2,143.74816022600447,213.82151166130515,37.428685237339565,143.5062706588617,all_history,core,42
xgb_direct,fold3,162.44221641903832,263.19733743106616,79.93301520211357,176.16691247926173,all_history,core,42
xgb_direct,fold4,130.7625459943499,241.59219180836396,58.313672379993264,149.5216650156828,all_history,core,42
rf_resid,fold1,226.82285012607412,323.043769401218,123.10197552447504,234.94495098829748,all_history,core,42
rf_resid,fold2,162.5658273758024,204.3638463725158,68.03992159830639,156.20005191931722,all_history,core,42
rf_resid,fold3,144.88354962188293,241.68323252469588,64.96761359210802,157.94026728677184,all_history,core,42
rf_resid,fold4,145.9165899765286,165.81319083235238,58.045641191705464,134.31138047631111,all_history,core,42
ridge_resid,fold1,143.20456101080165,303.3889214106444,28.67536313299957,168.35402955519405,all_history,no_weather,71
ridge_resid,fold2,142.73626670311012,214.03040593378213,29.489490578307997,141.4751532473513,all_history,no_weather,71
ridge_resid,fold3,124.00246676422046,232.18874169132093,36.071573749315014,138.8721706393695,all_history,no_weather,71
ridge_resid,fold4,103.75645176433356,97.36389038686666,20.971443028110954,85.28168160384897,all_history,no_weather,71
ridge_direct,fold1,140.77289608530623,296.947512182695,27.577836629133678,164.98626902328834,all_history,no_weather,71
